P, A, etiqueta
“Cuanto antes tomes la decisión, mejor”, “Espero que tomes la decisión por ti mismo”, 0
"No puedo decidir qué hacer","Cuanto antes la decisión, mejor",0
"No hay pruebas físicas concluyentes", "Es una pena, recopilemos las pruebas ahora", 0
"Estoy casado","Me gustaria",0
"Estoy casado","Deseo",0
“El matrimonio es cuestión de dinero”, “Cuesta mucho, pero se puede reducir”,0
"Es molesto ir a una boda","Es bueno asistir felicitaciones y condolencias",0
“Tengo que ir a otra boda”, “Qué bueno asistir felicitaciones y condolencias”, 0
“Me preocupa que no haya invitados a la boda”, “No me importa más de lo que pensaba”, 0
"Demasiadas bodas","Debes tener una red amplia",0
"¿Por qué te sigues enojando conmigo cuando te casas?", "Debe ser difícil", 0
“Va a costar mucho dinero preparar la boda”, “Va a costar mucho, pero se puede reducir”,0
“¿Cuánto dinero cuesta prepararse para una boda?”, “Dependiendo de tu codicia, variará mucho”, 0
“Cuesta mucho casarse”, “Es ostentoso”,0
“Cuánto dinero te costará casarte”, “Habrá mucha diferencia dependiendo de tu codicia”, 0
"Es bueno casarse","Pruébalo",0
"¿Sería bueno que nos casáramos", "Si trabajamos duro juntos, seremos felices", 0
"¿Serás feliz si te casas?", "Si trabajamos duro juntos, seremos felices", 0
“Soy feliz cuando me case”, “Cada persona tiene un nivel diferente de felicidad, pero yo seré feliz”, 0
"¿Serás feliz si te casas?", "Cada persona tiene un nivel diferente de felicidad, pero tú serás feliz", 0
"¿Debería casarme?", "Si tienes la habilidad, puedes hacerlo", 0
"¿Me puedo casar?", "Si tienes la capacidad, puedes hacerlo", 0
"¿Me puedo casar contigo?", "Hazlo con la persona que quieres ser", 0
"debería casarme","pruébalo",0
"La competencia es demasiado feroz","Parece que cada vez es más feroz",0
"Puedo seguir estudiando", "No estoy seguro", 0
"Es molesto seguir intentándolo","Parece que le gusta la estabilidad",0
"Sería bueno que continuaran las vacaciones","Las vacaciones son muy cortas",0
"Quiero seguir viendo","Ve a ver",0
"Que si quiero seguir viendo","Ve a ver",0
"Te sigues sintiendo muy mal", "Si no te sientes bien, ve al hospital", 0
"Siento que siempre estoy en desacuerdo","Supongo que no fue el momento adecuado",0
"Quiero seguir como estudiante","Necesito conseguir un trabajo ahora",0
"Sigo suspirando","Es un fenómeno natural para suministrar energía a las células del cerebro. Debe estar falto de energía",0
"Para los estudiantes de último año de secundaria, todo lo que tienes que hacer es estudiar", "Estudiar es la máxima prioridad", 0
“Debo estudiar porque estoy en tercer año de secundaria”, “Estudiar es mi prioridad”, 0
"Deberías ponerte a dieta del boniato", "No te excedas", 0
“Solo debo comer boniatos y ponerme a dieta”, “No te excedas”,0
“Quiero comer carne a la brasa”, “Frente a la carne a baja presión”, 0
"Quiero comer carne","La presión baja está delante de la carne",0
"El rizador está arruinado","Necesito práctica",0
"Lo planché pero falló","Necesito práctica",0
"Noche solitaria","No estoy solo",0
"Hay mucha gente por la que estar agradecido","Debe haber mucha gente",0
"Y si me pongo los zapatos de goma al revés", "No te preocupes demasiado",0
"Tengo un problema","Di que si",0
"Escucharás mis preocupaciones", "Di que sí", 0
"Y si confieso y me arrepiento","El arrepentimiento solo engendra arrepentimiento. Se valiente",0
"Gosiwon es tan sofocante", "Podré ahorrar dinero y mudarme a otro lugar", 0
"Gosiwon es frustrante","Podré ahorrar dinero y mudarme a otro lugar",0
"Quiero salir de Gosiwon", "Podré vivir en un lugar mejor", 0
"Quiero escapar de Gosiwon", "Podré vivir en un lugar mejor", 0
"Mirando videos de gatos","Que lindo",0
"Quiero criar un gato","Criarte tu primero",0
"Quiero criar un gato","Consulta con tu familia",0
“Creo que me equivoqué sin querer”, “Pide perdón”, 0
"Terco","Evita si puedes",0
"Terco","Evita si puedes evitarlo",0
"No puedo jugar al golf","Nadie es bueno en eso desde el principio",0
"Hay que aprender a jugar al golf","Ve a tiempo",0
"El golf es difícil","Nadie lo hace bien desde el principio",0
"Tengo que ir a jugar al golf","Ve a tiempo",0
"Quiero comer menudencias","Por favor, recargue por adelantado",0
"Me recuerda a los menudos","Por favor, cargue por adelantado",0
"Los funcionarios estarán bien","Estables y buenos",0
"Quiero ser funcionario", "Prepárate",0
"Ojalá pudiera ser funcionario","Prepárate",0
"Estudiar para el examen de servicio civil es dificil","Quisiera que apruebes",0
"Siento que me voy a morir en el examen de servicio civil", "Qué fácil sería convertirse en un tazón de arroz de hierro", 0
“Es difícil hacer el examen de funcionario público”, “Qué fácil es convertirse en un tazón de arroz de hierro”, 0
"¿Nos preparamos para el servicio público?", "El comienzo está a la mitad. Date prisa y prepárate", 0
"Me gustan los funcionarios","Estables y buenos",0
“Me pongo nervioso porque tengo hambre”, “Es un fenómeno natural”, 0
“Soy sensible porque tengo el estómago vacío”, “Es un fenómeno natural”, 0
"Sensible en ayunas","Nada que ver",0
"¿Puedo seguir estudiando?", "Estará bien como ahora", 0
"¿Debo estudiar?", "Mi futura pareja cambiará", 0
"¿Debería dejar de estudiar?", "No creo que esté seguro", 0
"Puedo empezar a estudiar", "Estudiar siempre es bueno", 0
"¿Por qué debo estudiar?", "Estudiar me da más opciones", 0
"No soy bueno estudiando","Chateamos y jugamos juntos",0
"Quiero estudiar bien", "Encuentra tu propio método de estudio", 0
"Debería haber estudiado más", "Aún no es tarde", 0
"No quiero estudiar", "Chateamos y jugamos juntos", 0
"No creo que estudiar sea mi constitución", "No creo que esté seguro", 0
"¿Puedo ganarme la vida estudiando?", "Será tan bueno como ahora", 0
"¿Mi método de estudio está mal?", "Es urgente encontrar un método de estudio que se adapte a mí", 0
"No quiero estudiar","Me puedo tomar un descanso",0
"Días en los que no quiero estudiar","Puedes descansar",0
“No hay placer en estudiar”, “Estudiar me da más opciones”, 0
"Razones para estudiar","Estudiar te da más opciones",0
“No hay razón para estudiar”, “Estudiar da más opciones”, 0
"Es difícil prepararse para el examen público", "Ojalá apruebes", 0
"Es difícil prepararse para la divulgación pública", "Estará bien", 0
"Preparándose para la divulgación","Habrá buenos resultados",0
"Es difícil prepararse para el anuncio público","Funcionará",0
“Soy funcionario público”,“Habrá buenos resultados”,0
"Quiero ver una actuación","Ir con un amigo",0
"Quiero ir a ver una función","Ir con un amigo",0
“Me cuesta escribir en cuadernos”, “Hay diferencias de personalidad”, 0
"Tengo un trastorno de pánico", "Toma medicamentos constantemente y trátate", 0
"Tengo trastorno de pánico", "Tomo medicamentos y recibo tratamiento constantemente", 0
"El hogar es lo mejor para las vacaciones","Es bueno para aliviar el cansancio",0
"Quédate en casa en vacaciones","Es bueno para aliviar el cansancio",0
"Olvida el pasado y avanza", "El hoy es importante", 0
"El pasado no importa","El hoy importa",0
"No puedo digerirlo porque comí demasiado", "Toma un medicamento digestivo", 0
"Debo haber comido en exceso","Comer en exceso está prohibido",0
"Comí demasiado","Tomar medicina digestiva",0
"Será una carga para las tasas de tutoría", "Mentiría si dijera que no", 0
"Las tarifas de capacitación son caras", "Mentiría si dijera que no", 0
"Debería dormir después de comer fruta","Me gustan mucho las frutas de temporada",0
“Debes comer fruta”, “Cuida tu salud”, 0
"No puedo comer fruta", "Intenta comerla de todos modos", 0
"No como fruta a menudo", "Intenta comerla de todos modos", 0
“Deberías comer fruta”, “Me gustan mucho las frutas de temporada”,0
"Las relaciones siguen siendo ambiguas","Las relaciones humanas necesitan ser resueltas",0
“Quiero decirte que no hagas caso”, “Hay momentos en los que necesitas ser indiferente”, 0
"Si no te interesa","Hay momentos en los que necesitas indiferencia",0
"Parece artritis","Cuidado con las escaleras",0
"Es artritis","Cuidado con las escaleras",0
"La publicidad nunca termina","Gira el canal",0
"Estoy mejorando", "Me alegro de que estés mejorando", 0
"Soy una persona decente, pero no quiero tener citas","Ser novio y novia",0
"No me toques", "Debes estar cansado", 0
"No esperé nada", "No es fácil esperar a alguien", 0
"Lo arruiné porque estaba bromeando", "No es demasiado tarde", 0
"Perdí mi precioso tiempo", "Piénsalo como una experiencia", 0
"Es vergonzoso","No tienes que hacerlo",0
"Siento que me estoy convirtiendo en un monstruo","No lo soy",0
"Estoy aquí en la librería Kyobo", "Encuentra un libro que te guste", 0
"Las clases de artes liberales son divertidas","Yo también quiero escuchar",0
"Hay un niño que me gusta en la clase de artes liberales", "Quiero estar en el mismo grupo", 0
“Las clases de artes liberales son divertidas”, “Es divertido construir conocimiento”,0
"Hay un niño que me gusta en la clase de artes liberales", "Quiero estar en el mismo grupo", 0
“Las clases de educación liberal son divertidas”, “Es divertido acumular conocimientos”,0
"La educación liberal es más divertida que la carrera", "Yo también quiero escucharla", 0
"¿Es posible completar la profesión docente?", "Gestiona tus créditos", 0
"Tuve un accidente automovilístico","Cuidado con el seguro",0
"Tuve un accidente de auto","Cuidado con el seguro",0
"No me gusta ir a la iglesia","¿Por qué debería?",0
“Te conocí en la iglesia”, “Espero que haya sido un buen encuentro”, 0
“Te conocí en la iglesia”, “Espero que haya sido un buen encuentro”, 0
“Me hacen trabajar duro mientras me maltratan”, “Será porque no sé qué hacer”, 0
"¿Puedo esperar hasta que regrese del ejército?", "Podré esperar si vivo mi vida", 0
"Voy a esperar al ejército", "Creo que está bien esperar si no te sientes presionado", 0
"¿Puedo esperar al ejército?", "Creo que sería bueno esperar si no es una carga", 0
"¿Será pesado esperar al ejército?", "No te preocupes demasiado", 0
"¿Puedo esperar a los militares?", "Podré esperar si vivo mi vida", 0
"¿Cuándo termina el ejército?", "El reloj del ejército nunca se detiene", 0
"Esperan la baja del ejército","El reloj militar no se detiene",0
"Buenos días","Buenos días",0
"Si tienes curiosidad, 500 wones","No tengo curiosidad",0
"Tengo curiosidad","No tengo curiosidad",0
"Tengo curiosidad","Cuéntame más",0
"Dime si tienes curiosidad","Cuéntame más",0
"me duele el oido","ir al hospital",0
"Me pican los oídos","Alguien debe estar maldiciendo",0
"Me hacían cosquillas en los oídos","Alguien debe estar maldiciendo",0
"Me zumban los oídos","Ve al hospital",0
"¿Qué tal volver a la agricultura?"Es fácil de pensar, pero difícil de practicar",0
"Creo que no le gusto","Es una historia triste",0
"Quiero gustarle a esa persona", "Yo también rezaré fervientemente", 0
"Espero que esa persona sea feliz","Puede ser",0
“Todo era así en esos días”, “Lo necesito cuando estoy inmerso en los recuerdos”, 0
"Debería haberme confesado", "El arrepentimiento solo genera arrepentimiento, sé valiente", 0
"Sería bueno ser solo un funcionario","El comienzo está a medio hacer, apúrate y prepárate",0
"Ojalá pudiera dejarte en paz","Hacer un viaje a un lugar donde nadie está",0
"Vamos a conocernos","Conocernos mucho",0
"Solo quiero descansar","Ven a tomar un poco de aire fresco",0
"Debería masticar", "Otras personas se sentirán frustradas", 0
"Solo quiero vivir así", "Vive como quieras vivir", 0
"No estoy durmiendo", "Debes estar muy cansado", 0
"Creo que podría decir que me equivoqué, pero sigo poniendo excusas", "Evita si puedes evitarlo", 0
"Tomaré un taxi","Ten cuidado",0
"Solo hazlo","La acción habla más fuerte que las palabras",0
"Debería comer solo","Vivo solo",0
"Simplemente me gusta estar solo","No estés solo",0
"¿Cómo has estado?", "Gracias por preguntar cómo estoy", 0
“Era así entonces”, “Lo necesito cuando estoy inmerso en los recuerdos”, 0
“Sí, sí”, “Espero que sea una buena elección”, 0
"Está bien, ya lo he decidido","Habrá buenos resultados",0
"Esperaba un poco","Dar generosamente y no esperar nada a cambio",0
"¿Por qué dirías eso?", "No te preocupes por lo que digan los demás", 0
"Debo ser ese tipo de persona","Eres una gran persona",0
"Debes ser una persona así", "Eres una gran persona", 0
"No era ese tipo de amigo, pero me molesta mucho", "Parece que a mi amigo le gusta", 0
"Tú vas para allá", "Cuéntame un cuento", 0
"He vivido tanto y todavía no entiendo","No entiendo del todo",0
"Eso haré","Espero que sea una buena elección",0
"Quiero dibujar bien","Podré hacerlo bien si voy a una academia o practico",0
“Espero que puedas dibujar bien”, “Si vas a una academia o practicas, podrás hacerlo bien”, 0
"Quiero renunciar y salir", "Hazlo si tienes confianza para cuidarte", 0
"Debería dejar de comer","Comer menos",0
“Quiero dejar de vivir”, “Te considero precioso”, 0
"Solo un día así","Sé agradecido por un día así",0
"Encontré un lugar genial","Ve con una buena persona",0
"Sería genial tener músculos", "¿Estás hablando de eso?", 0
"Sé el precio del oro","Es caro",0
"Como esta el precio del oro","Es caro",0
"¿Eres un buscador de oro?", "¿Estás confundido si es buena voluntad o buena voluntad?",0
"Sería bueno que naciera con una cuchara de oro", "Debe haber algo sin resolver", 0
“Si nací con una cuchara de oro”, “Por favor, hazle una cuchara de oro a mi hijo”, 0
"Ojalá hubiera nacido con una cuchara de oro","Por favor, hazle una cuchara de oro a mi hijo",0
“Dejar de fumar no es fácil”, “Hay que superarse”, 0
"Estaba nervioso","Debo haber estado demasiado nervioso",0
"Es molesto tener todos los aniversarios", "Seré feliz si te ocupas de los aniversarios", 0
"Se me olvidó otro aniversario","Anótalo en el calendario",0
"Me perdí el aniversario","Anótalo en el calendario",0
"Es molesto celebrar el aniversario", "Seré feliz si cuidas el aniversario", 0
"Háblame de las características", "Me atrevo a decir que puedo apoyar tu vida", 0
"Estoy cansado de esperar","No esperes",0
"No puedo decirte que esperes", "Déjalo a elección de la otra persona", 0
"Supongo que esperar se ha convertido en un hábito", "Eres una buena persona", 0
"Expectativas colapsadas","Da pero no esperes nada a cambio",0
"Las expectativas son una carga. ¿Hay alguna forma de sacudirlas?", "Cuanto más te amas, menos reconocimiento externo necesitas",0
"Estaba esperando","Esperar a los demás me entristece",0
"No esperes", "Da pero no esperes nada a cambio", 0
"Estaba esperando","Dar con alegría y no esperar nada a cambio",0
"Alguien en quien confiar","Debe ser una gran suerte tener a alguien en quien confiar",0
“No tengo energía”, “Trata de hablar abiertamente de tus sentimientos con las personas que te rodean”, 0
"Los precios del petróleo han subido","Utilice el transporte público",0
"Creo que ni siquiera sé cuáles son los conceptos básicos", "La idea de cada uno sobre los conceptos básicos puede ser diferente", 0
“No es básico”, “La idea de cada uno sobre lo básico puede ser diferente”, 0
"Hice una donación","Hiciste un buen trabajo",0
"donado","Hiciste un buen trabajo",0
"Me siento bien","Mañana será mejor que hoy",0
"Sigue haciendo chistes malos", "Por favor, da la cara", 0
"Estoy caminando porque estoy de mal humor", "Me organizo un poco mientras camino", 0
"Quiero cambiar de humor","Ven conmigo",0
"Necesito un cambio","Únete a mí",0
"Me siento tan bien", "Escucha música emocionante", 0
"Me siento sucio", "Escucha música alegre", 0
"Me siento extraño","¿Por qué?",0
"Me siento raro", "Piensa en por qué", 0
"¿Estaría bien el dormitorio?", "Sería más incómodo que vivir solo", 0
"Reprobé en el dormitorio","Trata de manejar mejor tus notas el próximo semestre",0
"¿Qué tal vivir en un dormitorio?", "Sería más incómodo que vivir solo", 0
"Vivir en un dormitorio sería incómodo","Sería más incómodo que vivir solo",0
"Lo siento por el dormitorio", "Trata de manejar mejor tus calificaciones el próximo semestre", 0
"¿Aprendemos tecnología?", "Saber mucha tecnología ayudaría", 0
"Quiero viajar en tren","Es un viaje de ensueño",0
"Quiero hacer un viaje en tren", "Es un viaje de ensueño", 0
"No puedo ni toser","Es una situación frustrante",0
"Ni siquiera puedo toser cómodamente", "Es una situación frustrante", 0
"Recibí una estafa de regalo","Me gustaría",0
"¿Estaría bien dar un regalo con?", "Creo que sería mejor darlo en persona", 0
"¿Te doy un regalo con?", "Creo que sería mejor darlo directamente", 0
"¿Te gustaría que te diera un regalo con?", "Creo que sería mejor darlo directamente", 0
"Recibí un regalo como regalo","Sería lindo",0
"Debería darlo como regalo-con","Creo que sería mejor darlo directamente",0
"Perdí mi oportunidad","Habrá una mejor oportunidad",0
"No tuve oportunidad", "Ya vendrá una mejor oportunidad", 0
“Como es una agencia, debe haber muchas chicas lindas”, “Ya que estamos preparando celebridades, todas serán más lindas que la persona promedio”, 0
“Debe haber muchos niños lindos en la agencia”, “Porque están preparando celebridades, todos deben ser más lindos que el público en general”, 0
"Es difícil manejar el cabello largo", "Así que no puedo dejarlo crecer y cortarlo", 0
“Es difícil manejar el cabello largo”, “Por eso no puedo dejarlo crecer y cortarlo”, 0
"Me tomó mucho tiempo, pero está bien", "Me alegro de que estés mejorando", 0
"Dime cómo relajarme", "Respira hondo", 0
"Estoy nervioso","Trata de respirar hondo",0
"Estoy sudando porque estoy nervioso","No te pongas nervioso de antemano",0
“Te lo puedo dar si me lo pides en la calle”, “Dame si quieres”, 0
"Odio a la gente que fuma en la calle","Yo también me odio",0
"Elegí un número en la calle","Buen trabajo",0
"Te lo puedo dar si te lo pido en la calle", "Dámelo si te gusta", 0
"Me cazaron por la calle","Haz tu mejor esfuerzo",0
"El camino es largo y el sol se pone", "Todavía podré cruzarlo", 0
"Casi me resbalo porque el camino estaba resbaladizo","Cuidado",0
"No veo el camino","No te desanimes",0
"Casi me resbalo porque el camino estaba helado","Cuidado",0
"El camino está helado","Cuidado que está resbaladizo",0
"Quiero comer a Kim Tteoksun", "Come poco para la salud", 0
"No hay kimchi", "Vamos al mart", 0
"Tengo que comer arroz frito con kimchi", "Espero que la pases deliciosa", 0
"Debería hacer arroz frito con kimchi", "Espero que tengas una comida deliciosa", 0
"Quiero comer estofado de kimchi","Es delicioso",0
"Kaa oppas están regresando", "Supongo que has estado esperando", 0
"Está oscuro, pero no da luz", "Espera un poco y vuelve la luz", 0
"Te ves flaca","Es adecuado",0
“Parece que te vas a ver feo”, “Sé duro contigo mismo”, 0
"Quiero recibir flores", "Quiero regalarlas", 0
"Quiero comprar flores","El ambiente en la casa va a cambiar",0
"¿Debo comprar flores?", "El ambiente en la casa cambiará", 0
"¿Te gustan los regalos de flores?","Los regalos de flores siempre son bonitos",0
"¿Debo regalar flores?", "Los regalos de flores siempre son bonitos", 0
"Las flores están maravillosamente secas","Eres bueno en eso",0
"La sopa de cangrejo es deliciosa","Te ves bien",0
"Una verdadera ladrona de arroz en sopa de cangrejo","Te ves bien",0
"Aprender arreglos florales","Es un buen pasatiempo para calmar la mente",0
"Es bueno aprender arreglo floral","Es un buen pasatiempo para calmar la mente",0
"Quiero ir a ver flores","Se acerca la temporada de los cerezos en flor",0
"Vamos a secar el ramo", "Hacer flores secas al revés", 0
"Sería bonito si el ramo estuviera seco","Hacer flores secas al revés",0
"Tengo un ramo de flores", "Tengo envidia", 0
"Compré un ramo","Es un lindo regalo",0
"Un ramo de flores está bien","Es un regalo sensato",0
"Recibí un ramo de flores","Tengo celos",0
"¿Qué tal un ramo de flores?", "Es un regalo sensato", 0
"Preparé un ramo","Es un lindo regalo",0
"¿Qué te gusta de un regalo de cesta de flores o de regalo de cesta de frutas","Envidio al destinatario",0
"Sería mejor una canasta de flores o una canasta de frutas","Envidio al destinatario",0
"Recibí una flor de regalo","Quiero darla",0
"Es divertido","Yo también me estoy divirtiendo",0
“Tengo muchos sueños”, “Vamos a lograrlo paso a paso”,0
“Tengo tantos sueños”, “Vamos a lograrlo paso a paso”,0
